requirement_id,source_kind,source_path,source_lines,step_id,user_facing_outcome,classification,target_package,schema_path,schema_field,validator_symbol,renderer_symbol,quality_gate_id,operator_surface,positive_fixture,negative_fixture,acceptance_test,evidence_path,implementation_status,notes
PQ0-1B-001,parity_audit,00_admin/audits/2026-08-21-prompt-quality-preservation/READ_ONLY_PROMPT_PARITY_AUDIT.md,47,1b,Customer-presentable architecture tree,missing,PQ-1,standards/outputs/step-1b-architecture.schema.json,not_applicable: presentation tree absent,services.step1b_preflight.validator.validate_step1b_candidate,services.step1b_preflight.render.render_step1b,qg-step1b-architecture-integrity,Architecture artifact review,planned:tests/fixtures/step1b/pq0-1b-001-positive.json,planned:tests/fixtures/step1b/pq0-1b-001-negative.json,planned:tests/test_step1b_contract.py::test_pq0_1b_001,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1B-001.md,planned,Current contract proof does not prove presentation quality.
PQ0-1B-002,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,95-97,1b,Page-type classification badges legend and open confirmations,missing,PQ-1,standards/outputs/step-1b-architecture.schema.json,not_applicable: fields absent,services.step1b_preflight.validator.validate_step1b_candidate,services.step1b_preflight.render.render_step1b,qg-step1b-architecture-integrity,Architecture artifact review,planned:tests/fixtures/step1b/pq0-1b-002-positive.json,planned:tests/fixtures/step1b/pq0-1b-002-negative.json,planned:tests/test_step1b_contract.py::test_pq0_1b_002,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1B-002.md,planned,Missing output-quality fields.
PQ0-1B-003,prompt,prompts/1b-seitenarchitektur.xml.md,27-30,1b,One decision per approved item with URL navigation canonical and redirect behavior,preserved,PQ-1,standards/outputs/step-1b-architecture.schema.json,properties.content_decisions,services.step1b_preflight.validator.validate_step1b_candidate,services.step1b_preflight.render.render_step1b,qg-step1b-architecture-integrity,Architecture artifact review,tests/fixtures/step1b/positive-architecture.json,not_applicable:negative mutations in contract test,tests/test_step1b_contract.py::test_positive_architecture_validates,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1B-003.md,verified,Named positive proof exists; persist a dedicated negative fixture only if PQ-1 changes this behavior.
PQ0-1B-004,validator,services/step1b_preflight/validator.py,48-77,1b,No orphaned or conflicting vertical and horizontal internal links,strengthened,PQ-1,standards/outputs/step-1b-architecture.schema.json,properties.link_graph,services.step1b_preflight.validator.validate_step1b_candidate,services.step1b_preflight.render.render_step1b,qg-step1b-architecture-integrity,Architecture artifact review,tests/fixtures/step1b/positive-architecture.json,not_applicable:negative mutations in contract test,tests/test_step1b_contract.py::test_rejects_orphan_and_disconnected_links,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1B-004.md,verified,Current validator adds enforceable link safety.
PQ0-1B-005,prompt,prompts/1b-seitenarchitektur.xml.md,14-15;28;50-55,1b,One canonical JSON authority and deterministic Markdown plus self-contained HTML,strengthened,PQ-1,standards/outputs/step-1b-architecture.schema.json,root canonical artifact,services.step1b_preflight.validator.validate_step1b_preflight,services.step1b_preflight.render.render_step1b,qg-gate1b-architecture-approval,Architecture artifact review,tests/fixtures/step1b/positive-architecture.json,not_applicable:renderer rejects invalid candidate,tests/test_step1b_contract.py::test_renderer_derives_views,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1B-005.md,verified,Direct full-preflight positive proof remains a PQ-1 acceptance gap.
PQ0-1C-001,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,99,1c,Hero and CTA,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-001-positive.json,planned:tests/fixtures/step1c/pq0-1c-001-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_001,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-001.md,planned,Missing template structure.
PQ0-1C-002,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,100,1c,Quick Facts block,missing,PQ-1,standards/outputs/step-1c-template.schema.json,not_applicable: content block absent,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-002-positive.json,planned:tests/fixtures/step1c/pq0-1c-002-negative.json,planned:tests/test_step1c_contract.py::test_pq0_1c_002,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-002.md,planned,Missing template structure.
PQ0-1C-003,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,109-111,1c,Brand-derived self-contained design consistency,missing,PQ-1,standards/outputs/step-1c-design-system.schema.json,not_applicable: brand consistency contract incomplete,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,planned:tests/fixtures/step1c/pq0-1c-003-positive.json,planned:tests/fixtures/step1c/pq0-1c-003-negative.json,planned:tests/test_step1c_renderer.py::test_pq0_1c_003,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-003.md,planned,Current renderer is self-contained but does not prove approved brand consistency.
PQ0-1C-004,prompt,prompts/1c-pillar-template.xml.md,26-32,1c,Evidence-bound tokens accessibility JSON-LD references and safe location claims,strengthened,PQ-1,standards/outputs/step-1c-design-system.schema.json;standards/outputs/step-1c-template.schema.json,properties.tokens;properties.accessibility;properties.jsonld_references;properties.location_context,services.step1c_preflight.validator.validate_step1c_candidate,services.step1c_preflight.render.render_step1c,qg-step1c-design-system,Design and template artifact review,tests/fixtures/step1c/positive-design-system.json;tests/fixtures/step1c/positive-template.json,tests/fixtures/step1c/positive-template.json mutated in test,tests/test_step1c_contract.py::test_preflight_rejects_address_claim_for_service_area_only,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-1/PQ0-1C-004.md,verified,Direct full-lineage positive preflight proof remains a PQ-1 acceptance gap.
PQ0-2-001,approved_plan,.hermes/plans/2026-08-21-prompt-quality-preservation-v2-restoration.md,130,2,25 to 40 candidates across approved category families,missing,PQ-2,standards/outputs/step-2-keyword-evidence.schema.json,not_applicable: breadth and family fields absent,services.step2_preflight.validator.validate_step2_preflight,services.step2_preflight.render.render_step2,qg-step2-provider-evidence,Keyword-evidence artifact review,planned:tests/fixtures/step2/pq0-2-001-positive.json,planned:tests/fixtures/step2/pq0-2-001-negative.json,planned:tests/test_step2_contract.py::test_pq0_2_001,00_admin/audits/2026-08-23-m08-output-quality-restoration/evidence/PQ-2/PQ0-2-001.md,planned,No real provider claim.
